fecha,id_tienda,id_producto,unidades_vendidas
2024-01-01,STORE_01,PROD_001,5
2024-01-02,STORE_01,PROD_001,4
2024-01-03,STORE_01,PROD_001,3
2024-01-04,STORE_01,PROD_001,4
2024-01-05,STORE_01,PROD_001,10
2024-01-06,STORE_01,PROD_001,8
2024-01-07,STORE_01,PROD_001,8
2024-01-08,STORE_01,PROD_001,8
2024-01-09,STORE_01,PROD_001,4
2024-01-10,STORE_01,PROD_001,3
2024-01-11,STORE_01,PROD_001,7
2024-01-12,STORE_01,PROD_001,5
2024-01-13,STORE_01,PROD_001,12
2024-01-14,STORE_01,PROD_001,6
2024-01-15,STORE_01,PROD_001,5
2024-01-16,STORE_01,PROD_001,2
2024-01-17,STORE_01,PROD_001,7
2024-01-18,STORE_01,PROD_001,7
2024-01-19,STORE_01,PROD_001,5
2024-01-20,STORE_01,PROD_001,10
2024-01-21,STORE_01,PROD_001,11
2024-01-22,STORE_01,PROD_001,5
2024-01-23,STORE_01,PROD_001,5
2024-01-24,STORE_01,PROD_001,9
2024-01-25,STORE_01,PROD_001,5
2024-01-26,STORE_01,PROD_001,20
2024-01-27,STORE_01,PROD_001,5
2024-01-28,STORE_01,PROD_001,8
2024-01-29,STORE_01,PROD_001,8
2024-01-30,STORE_01,PROD_001,5
2024-01-31,STORE_01,PROD_001,8
2024-02-01,STORE_01,PROD_001,3
2024-02-02,STORE_01,PROD_001,8
2024-02-03,STORE_01,PROD_001,10
2024-02-04,STORE_01,PROD_001,12
2024-02-05,STORE_01,PROD_001,2
2024-02-06,STORE_01,PROD_001,9
2024-02-07,STORE_01,PROD_001,2
2024-02-08,STORE_01,PROD_001,3
2024-02-09,STORE_01,PROD_001,13
2024-02-10,STORE_01,PROD_001,15
2024-02-11,STORE_01,PROD_001,9
2024-02-12,STORE_01,PROD_001,9
2024-02-13,STORE_01,PROD_001,2
2024-02-14,STORE_01,PROD_001,3
2024-02-15,STORE_01,PROD_001,5
2024-02-16,STORE_01,PROD_001,10
2024-02-17,STORE_01,PROD_001,13
2024-02-18,STORE_01,PROD_001,6
2024-02-19,STORE_01,PROD_001,1
2024-02-20,STORE_01,PROD_001,8
2024-02-21,STORE_01,PROD_001,5
2024-02-22,STORE_01,PROD_001,7
2024-02-23,STORE_01,PROD_001,10
2024-02-24,STORE_01,PROD_001,13
2024-02-25,STORE_01,PROD_001,10
2024-02-26,STORE_01,PROD_001,6
2024-02-27,STORE_01,PROD_001,11
2024-02-28,STORE_01,PROD_001,4
2024-02-29,STORE_01,PROD_001,8
2024-03-01,STORE_01,PROD_001,8
2024-03-02,STORE_01,PROD_001,11
2024-03-03,STORE_01,PROD_001,9
2024-03-04,STORE_01,PROD_001,8
2024-03-05,STORE_01,PROD_001,4
2024-03-06,STORE_01,PROD_001,2
2024-03-07,STORE_01,PROD_001,5
2024-03-08,STORE_01,PROD_001,4
2024-03-09,STORE_01,PROD_001,6
2024-03-10,STORE_01,PROD_001,9
2024-03-11,STORE_01,PROD_001,2
2024-03-12,STORE_01,PROD_001,6
2024-03-13,STORE_01,PROD_001,2
2024-03-14,STORE_01,PROD_001,3
2024-03-15,STORE_01,PROD_001,10
2024-03-16,STORE_01,PROD_001,12
2024-03-17,STORE_01,PROD_001,4
2024-03-18,STORE_01,PROD_001,3
2024-03-19,STORE_01,PROD_001,6
2024-03-20,STORE_01,PROD_001,7
2024-03-21,STORE_01,PROD_001,3
2024-03-22,STORE_01,PROD_001,5
2024-03-23,STORE_01,PROD_001,10
2024-03-24,STORE_01,PROD_001,11
2024-03-25,STORE_01,PROD_001,4
2024-03-26,STORE_01,PROD_001,7
2024-03-27,STORE_01,PROD_001,6
2024-03-28,STORE_01,PROD_001,9
2024-03-29,STORE_01,PROD_001,9
2024-03-30,STORE_01,PROD_001,10
2024-03-31,STORE_01,PROD_001,6
2024-01-01,STORE_01,PROD_002,17
2024-01-02,STORE_01,PROD_002,12
2024-01-03,STORE_01,PROD_002,8
2024-01-04,STORE_01,PROD_002,6
2024-01-05,STORE_01,PROD_002,4
2024-01-06,STORE_01,PROD_002,7
2024-01-07,STORE_01,PROD_002,12
2024-01-08,STORE_01,PROD_002,4
2024-01-09,STORE_01,PROD_002,8
2024-01-10,STORE_01,PROD_002,6
2024-01-11,STORE_01,PROD_002,4
2024-01-12,STORE_01,PROD_002,16
2024-01-13,STORE_01,PROD_002,7
2024-01-14,STORE_01,PROD_002,3
2024-01-15,STORE_01,PROD_002,7
2024-01-16,STORE_01,PROD_002,8
2024-01-17,STORE_01,PROD_002,6
2024-01-18,STORE_01,PROD_002,8
2024-01-19,STORE_01,PROD_002,5
2024-01-20,STORE_01,PROD_002,7
2024-01-21,STORE_01,PROD_002,18
2024-01-22,STORE_01,PROD_002,5
2024-01-23,STORE_01,PROD_002,2
2024-01-24,STORE_01,PROD_002,6
2024-01-25,STORE_01,PROD_002,8
2024-01-26,STORE_01,PROD_002,11
2024-01-27,STORE_01,PROD_002,7
2024-01-28,STORE_01,PROD_002,14
2024-01-29,STORE_01,PROD_002,8
2024-01-30,STORE_01,PROD_002,12
2024-01-31,STORE_01,PROD_002,13
2024-02-01,STORE_01,PROD_002,1
2024-02-02,STORE_01,PROD_002,14
2024-02-03,STORE_01,PROD_002,10
2024-02-04,STORE_01,PROD_002,15
2024-02-05,STORE_01,PROD_002,9
